"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"328","Epithelial 6","Epithelial 5","ANGPTL4","CDH11",0.00665573216829058,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"329","Unknown","Epithelial 5","ANGPTL4","CDH11",0.00186552248227367,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"330","Epithelial 1","Epithelial 6","ANGPTL4","CDH11",0.00818691557610872,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"331","Epithelial 2","Epithelial 6","ANGPTL4","CDH11",0.00818691557610872,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"332","Epithelial 3","Epithelial 6","ANGPTL4","CDH11",0.0129141080227856,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"333","Epithelial 4","Epithelial 6","ANGPTL4","CDH11",0.0287415320376801,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"334","Epithelial 5","Epithelial 6","ANGPTL4","CDH11",0.00818691557610872,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"335","Epithelial 6","Epithelial 6","ANGPTL4","CDH11",0.0287415320376801,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"336","Unknown","Epithelial 6","ANGPTL4","CDH11",0.00818691557610872,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"337","Epithelial 1","Unknown","ANGPTL4","CDH11",0.00816055994409815,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"338","Epithelial 2","Unknown","ANGPTL4","CDH11",0.00816055994409815,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
