cluster,assignment
0,Liver epithelial cells
1,Liver epithelial cells
2,Endothelial cells
3,Liver epithelial cells
4,Liver epithelial cells
5,Stellate cells
6,Liver epithelial cells
7,Cholangiocyte cells
8,Neutrophils and macrophages
9,Lymphocytes
10,Liver epithelial cells
11,Unknown
