Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Cholangiocyte,4,69.81,GAPDH|EEF1A1|RPS18|RPL41|RPL8|RPS23|RPL3|RPLP0|RPL29|RPL35|RPL6|RPL18|RPS27A|RPL7A|RPL9|RPL37|RPS7|RPS4X|RPS5|RPL15|RPL11|NACA|COX7C|RPL7|RPL14|RPS8|RPL4|RPL10A|RPS3|RPS3A|RPS26|HINT1|RPL5|RPS25|SERF2|RPL22|NDUFA4,340
cvLSECs,4,8.57,PPIA|NDUFA4|HSP90B1,340
Erythroid,4,7.14,UBB,340
InfMac,4,53.03,FTL|RPL13|RPS2|RPS19|RPL10|RPS14|RPL28|RPL13A|RPL19|RPS24|RPS15|RPL18A|RPL32|RPS27|RPS9|COX7C|RPS8|ACTB|RPLP2|PTMA|ACTG1|CST3|PPIA|H3F3A|RPL35A|SRP14|RPL39|RPL34|RPL12|CFL1|CYBA|B2M|PSAP|TMSB10|S100A6,340
InterHep,4,26.32,APOA2|MT2A|C3|ALDOB|MT1G,340
NKTcell,4,53.85,RPS27|COX4I1|COX7C|RPL4|ACTG1|RPS3|RPS21|PPIA|EEF1B2|CFL1|UQCRB|B2M|TMSB10|HLA-A,340
NonInfMac,4,67.39,GAPDH|RPL3|RPLP0|RPL29|RPL6|RPL7A|RPS7|RPS17|RPL30|RPS20|COX4I1|NACA|COX7C|RPL14|RPL4|RPL10A|ACTG1|RPS21|RPS26|PPIA|RPL5|RPSA|EEF1D|PFN1|TOMM7|RPL22|CFL1|UQCRB|CTSB|MT-ND5|TMSB10,340
PortalEndo,4,19.15,IFITM3|COX7C|RPL4|RPS3A|PFN1|SERF2|HSP90B1|UQCRB|TIMP1,340
PortalHep,4,31.58,FGB|APOC1|ORM1|SAA1|C3|ALDOB,340
Stellate,4,0,,340
Bcells,5,6.25,RPL9|RPL3|RPS7,1120
