Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
FLC,0,52.94,TMEM163|PDE10A|TESC|RPS6KA2|SLC16A14|VCAN|PDE4B|NOVA1|CA12,757
FLC,1,0,,335
FLC,2,0,,290
FLC,3,0,,306
FLC,4,11.76,FURIN|OAT,340
FLC,5,5.88,OAT,1120
FLC,6,17.65,CA12|OAT|PDE10A,356
FLC,7,0,,354
FLC,8,5.88,PDE4B,309
FLC,9,0,,100
FLC,10,11.76,VCAN|OAT,1254
