Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,5,97.92,EEF1A1|RPL8|RPL35|RPS23|RPL36|RPLP0|RPL3|RPL29|RPL6|RPL37|RPL18|RPL7A|RPL18A|RPS17|RPL9|RPS16|RPL30|RPS20|RPS7|RPS4X|FAU|RPL15|RPL11|RPL7|RPS5|NACA|RPL4|RPL14|PTMA|RPL24|RPS26|RPS3A|RPS21|RPL10A|RPSA|RPL27|RPL5|RPS13|EEF1B2|RPS25|RPL22|EEF1D|TOMM7|RPL31|TMSB4X|TMA7|CFL1,386
CentralHep,5,7.32,ORM1|SAA1|C3,386
Cholangiocyte,5,69.81,GAPDH|EEF1A1|RPL41|RPS18|RPL8|RPL35|RPS23|RPLP0|RPL3|RPL29|RPL6|RPL37|SERF2|RPL18|RPS27A|RPL7A|RPL9|RPS7|RPS4X|COX7C|RPL15|RPL11|RPL7|RPS5|RPS8|NACA|RPL4|RPL14|RPS26|RPS3A|RPL10A|RPS3|NDUFA4|RPL5|HINT1|RPS25|RPL22,386
cvLSECs,5,8.57,PPIA|HSP90B1|NDUFA4,386
Erythroid,5,7.14,UBB,386
InfMac,5,53.03,FTL|RPL13|RPL39|RPS2|RPS19|RPS14|RPL28|RPL10|RPL13A|RPS24|RPS15|RPL19|RPL32|CYBA|RPL18A|B2M|RPL34|RPL12|RPS27|COX7C|TMSB10|RPS9|ACTB|RPS8|RPL35A|PTMA|RPLP2|ACTG1|CST3|SRP14|PPIA|PSAP|H3F3A|TMSB4X|CFL1,386
InterHep,5,26.32,MT2A|APOA2|ALDOB|MT1G|C3,386
NKTcell,5,57.69,B2M|RPS27|COX4I1|COX7C|TMSB10|UQCRB|RPL4|ACTG1|RPS21|PPIA|RPS3|EEF1B2|HLA-A|TMSB4X|CFL1,386
NonInfMac,5,69.57,MT-ND5|GAPDH|RPLP0|RPL3|RPL29|RPL6|RPL7A|RPS17|RPL30|RPS20|COX4I1|RPS7|COX7C|TMSB10|UQCRB|NACA|RPL4|RPL14|ACTG1|RPS26|RPS21|PPIA|RPL10A|RPSA|RPL5|RPL22|EEF1D|TOMM7|PFN1|CTSB|TMSB4X|CFL1,386
PortalEndo,5,19.15,IFITM3|SERF2|COX7C|UQCRB|RPL4|RPS3A|HSP90B1|TIMP1|PFN1,386
PortalHep,5,31.58,APOC1|FGB|ORM1|SAA1|ALDOB|C3,386
Stellate,5,0,,386
Bcells,6,0,,361
CentralHep,6,7.32,CYP2C8|CYP3A5|CYP3A4,361
Cholangiocyte,6,1.89,CYP3A5,361
cvLSECs,6,2.86,HSP90B1,361
Erythroid,6,7.14,UBB,361
InfMac,6,3.03,SAT1|SERP1,361
InterHep,6,5.26,CYP3A5,361
NKTcell,6,3.85,ID2,361
NonInfMac,6,2.17,SAT1,361
PortalEndo,6,2.13,HSP90B1,361
PortalHep,6,5.26,CYP3A5,361
Stellate,6,0,,361
Bcells,7,0,,320
CentralHep,7,4.88,ABCC3|SHROOM3,320
Cholangiocyte,7,26.42,PKHD1|ANXA4|THSD4|FGFR2|MAML2|ANK3|ABCC3|GLIS3|PTPRK|SOX6|MAGI1|NFIB|FARP1|SLC17A4,320
