Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,840
CentralHep,0,56.1,SORBS2|CYP2B6|CP|C5|PTGR1|CFH|CYP3A5|SHROOM3|ECHDC2|CYP2C8|CYP2C9|ABCB4|ADRA1A|MGST1|ACSL1|C3|ASGR1|MAT1A|A1CF|ABCC3|CYP4F3|AOX1|GPC6,840
Cholangiocyte,0,7.55,SORBS2|CYP3A5|GLIS3|ABCC3,840
cvLSECs,0,5.71,TFPI|MIR99AHG,840
Erythroid,0,0,,840
InfMac,0,4.55,NEAT1|VCAN|SAT1,840
InterHep,0,57.89,SORBS2|CYP2B6|CP|CFH|CYP3A5|ECHDC2|ESR1|ALDOB|C3|ASGR1|GPC6,840
NKTcell,0,11.54,MALAT1|ID2|ARHGAP15,840
NonInfMac,0,2.17,SAT1,840
PortalEndo,0,6.38,TFPI|EPAS1|TM4SF1,840
PortalHep,0,52.63,NEAT1|CYP2B6|CP|CFH|CYP3A5|ECHDC2|ESR1|ALDOB|C3|ASGR1,840
Stellate,0,19.05,NR1H4|SORBS1|RBPMS|GPC6,840
Bcells,1,2.08,TMSB4X,336
CentralHep,1,0,,336
Cholangiocyte,1,5.66,NFIB|MAGI1|MAML2,336
cvLSECs,1,60,LDB2|FLT1|ST6GALNAC3|PTPRB|PREX2|PLCB1|KALRN|EGFL7|ST6GAL1|HECW2|DNASE1L3|TACC1|STAB2|PPFIBP1|ENG|MYO10|BTNL9|NOSTRIN|OIT3|ACSM3|LIFR,336
Erythroid,1,0,,336
InfMac,1,6.06,VIM|HLA-B|TMSB4X|PLXDC2,336
InterHep,1,0,,336
NKTcell,1,15.38,FYN|HLA-B|TMSB4X|HLA-A,336
NonInfMac,1,4.35,TMSB4X|PLXDC2,336
PortalEndo,1,65.96,LDB2|FLT1|TCF4|ST6GALNAC3|CALCRL|PTPRB|HSPG2|PLCB1|KALRN|IGFBP7|AKT3|RBMS3|EGFL7|ST6GAL1|HECW2|ZEB1|DNASE1L3|TACC1|PLPP1|BMPR2|ENG|ASAP1|CRIM1|HLA-E|BTNL9|TIMP3|NOSTRIN|PRSS23|PLPP3|LIFR|MEIS2,336
PortalHep,1,0,,336
Stellate,1,33.33,IGFBP7|RBMS3|MYO10|GRK5|CRIM1|COL4A2|LIFR,336
Bcells,2,25,RPL3|RPS23|RPL8|RPL18|RPL29|RPS4X|RPS5|NACA|RPL9|RPS7|RPLP0|EEF1A1,178
