"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",2.68795968516465e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Stellate cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.7267463233199e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","TGFbR1_R2",3.5315748689813e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Lymphocytes","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.57050811063972e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",1.62948910232286e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Stellate cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",1.04679100892969e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","TGFbR1_R2",2.14104250255102e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Lymphocytes","Liver epithelial cells 2","TGFB1","TGFbR1_R2",9.52138484872207e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Endothelial cells","Liver epithelial cells 3","TGFB1","TGFbR1_R2",5.87772118440672e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Stellate cells","Liver epithelial cells 3","TGFB1","TGFbR1_R2",3.77599344070352e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Neutrophils and macrophages","Liver epithelial cells 3","TGFB1","TGFbR1_R2",7.7254576412917e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","Lymphocytes","Liver epithelial cells 3","TGFB1","TGFbR1_R2",3.43569370379559e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Endothelial cells","Liver epithelial cells 4","TGFB1","TGFbR1_R2",3.32940219673368e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","Stellate cells","Liver epithelial cells 4","TGFB1","TGFbR1_R2",2.13877870343333e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","Neutrophils and macrophages","Liver epithelial cells 4","TGFB1","TGFbR1_R2",4.37369080422066e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
