Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Stellate,4,0,,189
Bcells,5,0,,266
CentralHep,5,2.44,GPC6,266
Cholangiocyte,5,5.66,MAML2|ANK3|GLIS3,266
cvLSECs,5,5.71,KALRN|LIFR,266
Erythroid,5,0,,266
InfMac,5,6.06,PLXDC2|ZEB2|VIM|VCAN,266
InterHep,5,5.26,GPC6,266
NKTcell,5,3.85,CELF2,266
NonInfMac,5,6.52,PLXDC2|ZEB2|CELF2,266
PortalEndo,5,19.15,RBMS3|IGFBP7|AKT3|KALRN|TIMP1|CRIM1|LIFR|PRSS23|ASAP1,266
PortalHep,5,0,,266
Stellate,5,66.67,RBMS3|CRISPLD2|IGFBP7|COL4A2|CALD1|DMD|ANK3|ADAMTS2|GRK5|ARHGAP10|HGF|GPC6|CRIM1|LIFR,266
Bcells,6,0,,757
CentralHep,6,26.83,CP|C5|CFH|MGST1|C3|ASGR1|ADRA1A|AOX1|SCP2|ECHDC2|PTGR1,757
Cholangiocyte,6,1.89,GLIS3,757
cvLSECs,6,5.71,HSP90B1|TFPI,757
Erythroid,6,0,,757
InfMac,6,7.58,VCAN|NEAT1|SAT1|SERP1|CEBPB,757
InterHep,6,31.58,CP|MT2A|CFH|C3|ASGR1|ECHDC2,757
NKTcell,6,7.69,MALAT1|ID2,757
NonInfMac,6,2.17,SAT1,757
PortalEndo,6,12.77,PTPRG|HSP90B1|TFPI|DUSP1|ID1|TM4SF1,757
PortalHep,6,36.84,NEAT1|CP|FGB|CFH|C3|ASGR1|ECHDC2,757
Stellate,6,19.05,PTPRG|RBPMS|SORBS1|NR1H4,757
Bcells,7,0,,259
CentralHep,7,4.88,TPRG1|ACSL1,259
Cholangiocyte,7,1.89,MAML2,259
cvLSECs,7,2.86,MRC1,259
Erythroid,7,0,,259
InfMac,7,18.18,SLC8A1|ZEB2|PLXDC2|TBXAS1|AOAH|CD163|SRGN|SAT1|CD74|PSAP|CTSS|SLC11A1,259
InterHep,7,0,,259
NKTcell,7,11.54,PTPRC|CELF2|ARHGAP15,259
NonInfMac,7,28.26,SLC8A1|ZEB2|KCNMA1|PLXDC2|FMN1|TBXAS1|MSR1|CD163|MERTK|CELF2|CTSB|SAT1|MS4A6A,259
PortalEndo,7,0,,259
PortalHep,7,0,,259
Stellate,7,0,,259
Bcells,8,45.83,RPL9|RPS7|RPL3|RPS5|RPS23|NACA|EEF1A1|RPL18|RPS4X|EEF1B2|RPL30|RPL29|RPL10A|RPL15|RPL8|RPL6|RPL14|RPLP0|RPL18A|RPSA|RPL7|RPL11,1527
CentralHep,8,53.66,CPS1|ADH1B|PLG|ASGR1|PID1|CYP2C9|AOX1|ACSM2B|SOX5|ACSM2A|MLXIPL|CYP4F3|CYB5A|A1CF|AGXT|BHMT|MGST1|MAT1A|CYP3A5|ALDH1L1|SCP2|CUX2,1527
Cholangiocyte,8,50.94,RPS18|RPL9|RPS7|RPL3|HINT1|PTPRK|CYP3A5|RPS27A|RPS5|RPS23|NACA|EEF1A1|RPL18|RPS4X|RPL29|RPS3|RPL10A|RPL15|RPL41|RPL8|RPL6|RPL14|SOX6|RPLP0|SLC17A4|RPL7|RPL11,1527
cvLSECs,8,11.43,CD36|RELN|PLCB1|TFPI,1527
Erythroid,8,14.29,FBXO7|UBB,1527
InfMac,8,24.24,FTL|RPL10|RPL13|RPS2|RPS19|RPS27|RPL13A|RPS14|RPL19|NEAT1|H3F3A|RPS9|RPL28|RPL18A|EIF3E|SAT1,1527
InterHep,8,42.11,APOA2|PLG|ASGR1|ACSM2B|ACSM2A|CYB5A|AGXT|CYP3A5,1527
NKTcell,8,15.38,MALAT1|RPS27|EEF1B2|RPS3,1527
NonInfMac,8,23.91,RPS7|RPL3|NACA|RPL30|RPL29|RPL10A|RPL6|RPL14|RPLP0|SAT1|RPSA,1527
PortalEndo,8,10.64,PLPP1|PLCB1|DUSP1|TFPI|MEIS2,1527
PortalHep,8,47.37,PLG|ASGR1|ACSM2B|ACSM2A|MLXIPL|AGXT|CYP3A5|NEAT1|APOC1,1527
Stellate,8,9.52,SOX5|NR1H4,1527
Bcells,9,0,,381
CentralHep,9,4.88,ABCC3|SHROOM3,381
Cholangiocyte,9,24.53,PKHD1|ANXA4|THSD4|FGFR2|MAML2|GLIS3|PTPRK|ABCC3|ANK3|MAGI1|SOX6|NFIB|FARP1,381
cvLSECs,9,5.71,MYO10|TACC1,381
Erythroid,9,0,,381
InfMac,9,0,,381
InterHep,9,0,,381
NKTcell,9,3.85,PARP8,381
NonInfMac,9,0,,381
PortalEndo,9,6.38,CRIM1|TACC1|PTPRG,381
PortalHep,9,0,,381
Stellate,9,19.05,ANK3|MYO10|CRIM1|PTPRG,381
Bcells,10,0,,75
CentralHep,10,0,,75
Cholangiocyte,10,0,,75
cvLSECs,10,0,,75
Erythroid,10,0,,75
InfMac,10,1.52,AOAH,75
InterHep,10,0,,75
NKTcell,10,19.23,PTPRC|FYN|ARHGAP15|PARP8|CELF2,75
NonInfMac,10,2.17,CELF2,75
PortalEndo,10,0,,75
PortalHep,10,0,,75
Stellate,10,0,,75
Bcells,11,0,,1952
CentralHep,11,87.8,CYP2B6|SORBS2|SHROOM3|CFH|PTGR1|C5|PLG|CYP3A5|CPS1|MAT1A|ACSM2A|CYP2C9|CYP2C8|BHMT|ECHDC2|A1CF|CP|ACSM2B|ACSL1|CYP4F3|AOX1|ABCB4|SCP2|MLXIPL|ASGR1|CYB5A|C3|ABCC3|ADRA1A|AGXT|PID1|MGST1|ALDH1L1|TPRG1|SOX5|GPC6,1952
Cholangiocyte,11,20.75,SORBS2|PKHD1|CYP3A5|GLIS3|MAGI1|PTPRK|NFIB|ABCC3|SLC17A4|SOX6|THSD4,1952
cvLSECs,11,14.29,MIR99AHG|TFPI|MRC1|NOSTRIN|HECW2,1952
Erythroid,11,0,,1952
InfMac,11,6.06,NEAT1|SAT1|CEBPB|VCAN,1952
InterHep,11,84.21,CYP2B6|SORBS2|ALDOB|ESR1|CFH|PLG|CYP3A5|ACSM2A|ECHDC2|CP|ACSM2B|ASGR1|CYB5A|C3|AGXT|GPC6,1952
NKTcell,11,11.54,MALAT1|ID2|ARHGAP15,1952
NonInfMac,11,6.52,KCNMA1|CTSB|SAT1,1952
PortalEndo,11,17.02,TFPI|PLPP1|ZEB1|EPAS1|NOSTRIN|DUSP1|PLPP3|HECW2,1952
PortalHep,11,78.95,CYP2B6|ALDOB|ESR1|CFH|NEAT1|PLG|CYP3A5|ACSM2A|ECHDC2|CP|ACSM2B|MLXIPL|ASGR1|C3|AGXT,1952
Stellate,11,33.33,SORBS1|NR1H4|RBPMS|DMD|CALD1|SOX5|GPC6,1952
Bcells,12,0,,1259
CentralHep,12,2.44,GPC6,1259
Cholangiocyte,12,5.66,FARP1|GLIS3|PTPRK,1259
cvLSECs,12,11.43,HSP90B1|TFPI|RELN|PPFIBP1,1259
Erythroid,12,7.14,MAP2K3,1259
InfMac,12,10.61,SAT1|VCAN|S100A6|CEBPB|PSAP|RPS24|NEAT1,1259
InterHep,12,10.53,MT2A|GPC6,1259
NKTcell,12,3.85,MALAT1,1259
NonInfMac,12,4.35,SAT1|CTSB,1259
PortalEndo,12,14.89,TM4SF1|HSP90B1|DUSP1|PLPP3|EPAS1|TFPI|ASAP1,1259
PortalHep,12,10.53,FGB|NEAT1,1259
Stellate,12,14.29,COL4A2|GRK5|GPC6,1259
Bcells,13,0,,1642
CentralHep,13,92.68,CYP3A4|CYP2B6|CYP2C8|SOX5|ALDH1L1|ACSM2A|ACSM2B|BHMT|CYP2C9|TPRG1|CYP3A5|GPC6|ACSL1|CYB5A|SHROOM3|MAT1A|CPS1|PLG|SORBS2|PTGR1|ADRA1A|ABCB4|A1CF|ECHDC2|CYP4F3|AOX1|MLXIPL|CFH|CP|ADH1B|SCP2|PID1|C5|AGXT|ASGR1|CUX2|ABCC3|C3,1642
Cholangiocyte,13,20.75,CYP3A5|MAGI1|SORBS2|PTPRK|NFIB|THSD4|SLC17A4|FARP1|ABCC3|SOX6|PKHD1,1642
