p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.6308809440291467,0.334,0.025,0,7,ARNT2
0,0.6307025042022423,0.388,0.153,0,7,DYNC2H1
0,0.625373467742369,0.609,0.397,0,7,ARHGAP42
0,0.6238180895410866,0.505,0.159,0,7,CCDC198
0,0.6224063157118723,0.481,0.269,0,7,ZBTB20-AS5
0,0.6197569706390041,0.527,0.238,0,7,RASSF8
0,0.6177806746774727,0.358,0.177,0,7,CCDC146
0,0.6166081101198928,0.47,0.21,0,7,PKD2
0,0.6159587468701395,0.439,0.175,0,7,OCLN
0,0.6132296325166351,0.758,0.501,0,7,PKP4
0,0.6111859921162908,0.619,0.426,0,7,PACSIN2
0,0.6068847049494894,0.731,0.518,0,7,EXOC6B
0,0.6055100985278743,0.583,0.262,0,7,PRKD1
0,0.60260568917469,0.408,0.111,0,7,EPB41L1
0,0.6017553518056717,0.192,0.029,0,7,CXCL8
0,0.6009268246922913,0.56,0.312,0,7,TNIK
0,0.5990416661587877,0.511,0.198,0,7,MARCH3
0,0.5976895616821145,0.574,0.336,0,7,ATP1A1
0,0.5959409170092421,0.355,0.104,0,7,SNAP25-AS1
0,0.5937560789791727,0.383,0.113,0,7,IL18
0,0.593208387467666,0.671,0.444,0,7,NPEPPS
