"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1-NML","R-HSA-9748784","Drug ADME","8/66","99/10891",1.30297874012085e-07,3.01759769261488e-05,2.79359292647357e-05,"1576/123876/1558/348158/7498/6822/10864/10249",8
"2","Liver epithelial cells 1-NML","R-HSA-9749641","Aspirin ADME","6/66","44/10891",2.31477430542271e-07,3.01759769261488e-05,2.79359292647357e-05,"1576/123876/1558/348158/10864/10249",6
"3","Liver epithelial cells 1-NML","R-HSA-211981","Xenobiotics","5/66","25/10891",3.38950673043651e-07,3.01759769261488e-05,2.79359292647357e-05,"1555/1576/1558/1548/1549",5
"4","Liver epithelial cells 1-NML","R-HSA-211999","CYP2E1 reactions","4/66","11/10891",3.93172337799984e-07,3.01759769261488e-05,2.79359292647357e-05,"1555/1558/1548/1549",4
"5","Liver epithelial cells 1-NML","R-HSA-211859","Biological oxidations","10/66","222/10891",7.86751623077162e-07,4.83065496569378e-05,4.47206185749124e-05,"1555/1576/123876/1558/1548/348158/6822/1549/9420/10249",10
"6","Liver epithelial cells 1-NML","R-HSA-211897","Cytochrome P450 - arranged by substrate type","6/66","66/10891",2.6848935327607e-06,0.000137377052426256,0.000127179167341296,"1555/1576/1558/1548/1549/9420",6
"7","Liver epithelial cells 1-NML","R-HSA-211945","Phase I - Functionalization of compounds","6/66","106/10891",4.17250757910686e-05,0.00182994260969401,0.00169410082159226,"1555/1576/1558/1548/1549/9420",6
"8","Liver epithelial cells 1-NML","R-HSA-114608","Platelet degranulation ","5/66","129/10891",0.00108154389325621,0.0415042469037071,0.038423269891997,"197/5054/5345/3827/1",5
"9","Liver epithelial cells 1-NML","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","5/66","134/10891",0.00128181941096137,0.0437242843516822,0.0404785077145695,"197/5054/5345/3827/1",5
