"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"27","Epithelial 3","Endothelial","VEGFA","KDR",0.00243334029150383,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"28","Epithelial 4","Endothelial","VEGFA","KDR",0.00243334029150383,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"29","Stellate","Endothelial","VEGFA","KDR",0.00243334029150383,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"30","Cholangiocyte","Endothelial","VEGFA","KDR",0.00243334029150383,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"31","Epithelial-like","Endothelial","VEGFA","KDR",0.00866890547140062,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"32","Erythroid","Endothelial","VEGFA","KDR",0.00243334029150383,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"33","Endothelial","Endothelial","VEGFC","FLT4",0.00186552248227367,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"34","Endothelial","Endothelial","VEGFC","KDR",0.00385127116477043,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"35","Epithelial 1","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"36","Epithelial 2","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"37","Epithelial 3","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"38","Epithelial 4","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"39","Stellate","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"40","Cholangiocyte","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"41","Epithelial-like","Endothelial","VEGFA","FLT1_KDR",0.0235798136323376,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"42","Erythroid","Endothelial","VEGFA","FLT1_KDR",0.00669118888186444,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"43","Endothelial","Endothelial","VEGFC","FLT4_KDR",0.00306153177544884,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
