"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"28","Epithelial 4","Cholangiocyte","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"29","Epithelial 5","Cholangiocyte","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"30","Unknown","Cholangiocyte","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"31","Epithelial 4","Macrophages","GDF15","TGFBR2",0.00186552248227367,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"32","Epithelial 5","Macrophages","GDF15","TGFBR2",0.00186552248227367,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"33","Unknown","Macrophages","GDF15","TGFBR2",0.00186552248227367,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"34","Epithelial 4","Lymphocyte","GDF15","TGFBR2",0.00420964015455655,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"35","Epithelial 5","Lymphocyte","GDF15","TGFBR2",0.00420964015455655,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"36","Unknown","Lymphocyte","GDF15","TGFBR2",0.00420964015455655,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"37","Epithelial 4","Epithelial 6","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"38","Epithelial 5","Epithelial 6","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"39","Unknown","Epithelial 6","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"40","Epithelial 4","Unknown","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"41","Epithelial 5","Unknown","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"42","Unknown","Unknown","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"43","Cholangiocyte","Epithelial 1","TGFA","EGFR",0.00979935621024313,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"44","Cholangiocyte","Epithelial 2","TGFA","EGFR",0.00790250739843399,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"45","Cholangiocyte","Epithelial 3","TGFA","EGFR",0.00643439766046031,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"46","Cholangiocyte","Epithelial 4","TGFA","EGFR",0.00605950386649359,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"47","Cholangiocyte","Stellate","TGFA","EGFR",0.00186552248227367,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"48","Cholangiocyte","Epithelial 5","TGFA","EGFR",0.00420964015455655,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"49","Cholangiocyte","Cholangiocyte","TGFA","EGFR",0.00605950386649359,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"50","Cholangiocyte","Epithelial 6","TGFA","EGFR",0.0118503967132176,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"51","Cholangiocyte","Unknown","TGFA","EGFR",0.00469470969718148,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"52","Cholangiocyte","Epithelial 4","TGFA","EGFR_ERBB2",0.00267406323844733,0,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"53","Cholangiocyte","Unknown","TGFA","EGFR_ERBB2",0.00235287788790906,0,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"54","Epithelial 4","Epithelial 1","AREG","EGFR",0.015443088389689,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"55","Unknown","Epithelial 1","AREG","EGFR",0.015443088389689,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"56","Epithelial 4","Epithelial 2","AREG","EGFR",0.012467544537974,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"57","Unknown","Epithelial 2","AREG","EGFR",0.012467544537974,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"58","Epithelial 4","Epithelial 3","AREG","EGFR",0.0101600378296947,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"59","Unknown","Epithelial 3","AREG","EGFR",0.0101600378296947,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"60","Epithelial 4","Epithelial 4","AREG","EGFR",0.00957016416461342,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"61","Unknown","Epithelial 4","AREG","EGFR",0.00957016416461342,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"62","Epithelial 4","Stellate","AREG","EGFR",0.00295356007463217,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"63","Unknown","Stellate","AREG","EGFR",0.00295356007463217,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"64","Epithelial 4","Epithelial 5","AREG","EGFR",0.00665573216829058,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"65","Unknown","Epithelial 5","AREG","EGFR",0.00665573216829058,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"66","Epithelial 4","Cholangiocyte","AREG","EGFR",0.00957016416461342,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"67","Unknown","Cholangiocyte","AREG","EGFR",0.00957016416461342,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"68","Epithelial 4","Epithelial 6","AREG","EGFR",0.018653130207375,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"69","Unknown","Epithelial 6","AREG","EGFR",0.018653130207375,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
