"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.54740666800916e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Lymphocytes","Liver epithelial cells 1","TGFB1","TGFbR1_R2",3.66655527982599e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",6.28551817918713e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Stellate cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",2.72782428205115e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","TGFbR1_R2",1.50446711745878e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Lymphocytes","Liver epithelial cells 2","TGFB1","TGFbR1_R2",1.48939639798775e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Cholangiocyte cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",7.72035843866375e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Endothelial cells","Liver epithelial cells 3","TGFB1","TGFbR1_R2",1.41942964815159e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Neutrophils and macrophages","Liver epithelial cells 3","TGFB1","TGFbR1_R2",3.39520878497283e-06,0.04,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Lymphocytes","Liver epithelial cells 3","TGFB1","TGFbR1_R2",3.36332044988002e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Endothelial cells","Liver epithelial cells 4","TGFB1","TGFbR1_R2",4.12240154775445e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","Stellate cells","Liver epithelial cells 4","TGFB1","TGFbR1_R2",1.78826919459622e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Neutrophils and macrophages","Liver epithelial cells 4","TGFB1","TGFbR1_R2",9.86338783901073e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","Lymphocytes","Liver epithelial cells 4","TGFB1","TGFbR1_R2",9.76812018414071e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","Cholangiocyte cells","Liver epithelial cells 4","TGFB1","TGFbR1_R2",5.06139502644199e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
