name,summary.logFC,FDR,p.value,self.average,other.average,self.detected,other.detected,cluster
RPL8,1.697747737,7.70868E-32,2.36684E-32,0.540036334,0.895173853,0.247673216,0.358822761,Cholangiocyte
THSD4,1.669168561,0,0,1.980315912,0.341108049,0.726990693,0.21103092,Cholangiocyte
RPL7A,1.655864927,5.43802E-15,2.5621E-15,0.464877641,0.761601636,0.212512927,0.311377013,Cholangiocyte
RPL7,1.641798015,4.72189E-22,1.7947E-22,0.524361659,0.948884624,0.259048604,0.377046658,Cholangiocyte
RPL9,1.635402084,3.21643E-25,1.14018E-25,0.423530249,0.911754838,0.176318511,0.328379347,Cholangiocyte
SORBS2,1.625457842,0,0,2.345084988,0.829098888,0.796794209,0.328684105,Cholangiocyte
RPL37,1.619404452,6.37409E-29,2.06278E-29,0.602491785,1.155866806,0.277662875,0.421991796,Cholangiocyte
RPLP0,1.551202592,2.28694001267571e-20,9.08243E-21,0.681637494,0.816384639,0.367631851,0.391319133,Cholangiocyte
RPS26,1.546039045,6.71802E-24,2.44842E-24,0.393747231,0.750814673,0.167011375,0.290898664,Cholangiocyte
RPL10A,1.540554466,2.83901E-15,1.32507E-15,0.441820365,0.754634782,0.218717684,0.309132249,Cholangiocyte
RPS7,1.523702054,3.48979E-22,1.32272E-22,0.490413989,0.881158301,0.237331954,0.355801263,Cholangiocyte
SOX6,1.512284624,0,0,1.80323971,0.375022369,0.714581179,0.223579971,Cholangiocyte
RPS5,1.500652078,5.4492E-14,2.65722E-14,0.418585216,0.720509199,0.192347466,0.29406144,Cholangiocyte
GAPDH,1.490539121,1.37493E-32,4.15826E-33,0.595849517,0.857443819,0.296794209,0.384056868,Cholangiocyte
NFIB,1.457267217,0,0,2.011816592,0.70018695,0.776111686,0.349226882,Cholangiocyte
RPL14,1.45628324,6.54843E-23,2.4362E-23,0.506815599,0.835015053,0.264736298,0.355059431,Cholangiocyte
COX7C,1.453781459,3.71454E-35,1.06821E-35,0.459455389,0.690804521,0.220268873,0.297613079,Cholangiocyte
ANK3,1.438860213,0,0,1.483179452,0.24281198,0.654601861,0.113961937,Cholangiocyte
PTPRK,1.427433363,0,0,2.135245153,0.646922727,0.750258532,0.295233633,Cholangiocyte
ABCC3,1.426665821,0,0,1.994121239,0.691200483,0.809203723,0.326420939,Cholangiocyte
FARP1,1.3569006,1.46406672806553e-270,5.5716E-272,1.788389915,0.531781051,0.743019648,0.303491498,Cholangiocyte
CYP3A5,1.338450902,1.0169E-273,3.7432E-275,2.493145176,1.288061156,0.837125129,0.430199449,Cholangiocyte
RPL5,1.338074766,8.36133E-21,3.27977E-21,0.534965788,0.814426593,0.29369183,0.367527545,Cholangiocyte
SLC17A4,1.295946874,0,0,1.447441511,0.177110282,0.705791107,0.147204088,Cholangiocyte
RPL22,1.268985378,1.35649E-13,6.72522E-14,0.415487756,0.766418318,0.219234747,0.31731403,Cholangiocyte
NACA,1.264370824,4.13392627197851e-20,1.65166839547608e-20,0.416210755,0.627352738,0.238883144,0.299245604,Cholangiocyte
NDUFA4,1.254548468,1.67399E-32,5.06915E-33,0.391213683,0.500961261,0.207859359,0.246964028,Cholangiocyte
RPL4,1.246144025,3.91595E-21,1.52178E-21,0.425693262,0.593984206,0.247156153,0.29526119,Cholangiocyte
SERF2,1.222707101,2.06064E-29,6.60343535326014e-30,0.561247794,0.918399183,0.287487073,0.40850282,Cholangiocyte
HINT1,1.212078161,2.33975E-22,8.82565E-23,0.539364675,0.601841841,0.305584281,0.311653801,Cholangiocyte
DNASE1L3,2.579198018,0,0,2.705153195,0.256569706,0.85304266,0.115256082,cvLSECs
LIFR,2.371392234,0,0,2.608864597,0.385365909,0.742628607,0.166894207,cvLSECs
PTPRB,2.368361649,0,0,2.48472812,0.30285461,0.733375157,0.118634302,cvLSECs
STAB1,2.229622934,0,0,2.450904589,0.317551127,0.820577164,0.163374185,cvLSECs
LDB2,2.021379267,0,0,2.188940562,0.398827963,0.665150565,0.176395085,cvLSECs
MRC1,1.937390605,0,0,2.064016028,0.306893392,0.700282309,0.155170276,cvLSECs
CRHBP,1.931543028,0,0,2.013830175,0.143490218,0.708908407,0.073283504,cvLSECs
ST6GALNAC3,1.648681498,0,0,1.728566191,0.295362422,0.590652447,0.119671662,cvLSECs
TFPI,1.622453802,0,0,1.968708883,0.81045581,0.718946048,0.408103775,cvLSECs
DGKG,1.591258698,0,0,1.721954396,0.12172528,0.582496863,0.062720894,cvLSECs
NTN4,1.574261086,0,0,1.835261944,0.261851556,0.64523212,0.154535245,cvLSECs
STAB2,1.545509455,0,0,1.614928952,0.064337705,0.602572146,0.043389706,cvLSECs
NOSTRIN,1.54219103,0,0,1.613783706,0.181553933,0.630018821,0.096366399,cvLSECs
MYO10,1.508404865,0,0,1.624662396,0.31522145,0.603356336,0.158720794,cvLSECs
PPFIBP1,1.493684219,0,0,2.02788039,0.393791481,0.674560853,0.249475862,cvLSECs
EGFL7,1.458186028,0,0,1.554953871,0.195956195,0.649780427,0.106885091,cvLSECs
ST6GAL1,1.45180541,0,0,2.255202803,0.661623288,0.706869511,0.359936227,cvLSECs
HECW2,1.441420967,0,0,1.538418994,0.173039644,0.589711418,0.10037568,cvLSECs
HSP90B1,1.383923146,5.54174E-38,2.44895E-38,0.611856712,0.572109044,0.310539523,0.342170244,cvLSECs
PPIA,1.35458486,3.35281E-33,1.59542E-33,0.44455298,0.544032574,0.220200753,0.299264474,cvLSECs
CD36,1.336369224,0,0,1.390482681,0.163914347,0.554422836,0.086694947,cvLSECs
PREX2,1.3313849,0,0,1.403712268,0.125410415,0.56163739,0.066624742,cvLSECs
ACSM3,1.327650048,0,0,1.596608318,0.184713052,0.559284818,0.134431926,cvLSECs
OIT3,1.327203894,0,0,1.367105851,0.06996795,0.582340025,0.045106023,cvLSECs
PLCB1,1.3232346,0,0,1.592756114,0.506638633,0.571675031,0.245923311,cvLSECs
NDUFA4,1.320225088,1.69629E-46,6.67978E-47,0.468980983,0.493891507,0.197459222,0.247909495,cvLSECs
ENG,1.298954269,0,0,1.391907698,0.260664645,0.597239649,0.14033302,cvLSECs
FLT1,1.285569908,0,0,1.306156524,0.156135904,0.548462986,0.077005832,cvLSECs
FCN2,1.28477935,0,0,1.32256142,0.081093807,0.576537014,0.047572119,cvLSECs
MIR99AHG,1.278159758,0,0,1.844703287,0.784702398,0.603513174,0.347576201,cvLSECs
ANKS1A,1.271532299,0,0,1.732336301,0.495561422,0.610727729,0.282019941,cvLSECs
KALRN,1.267089065,0,0,1.695411287,0.374533697,0.602415307,0.226851542,cvLSECs
RELN,1.266374796,0,0,1.410138663,0.13948186,0.559912171,0.081512643,cvLSECs
BTNL9,1.256720261,0,0,1.341378413,0.136941818,0.560853199,0.064971711,cvLSECs
TACC1,1.252655757,0,0,1.715238062,0.615885493,0.641154329,0.331287658,cvLSECs
HBA2,5.971228449,0,0,6.457514008,0.165943828,0.818181818,0.074391988,Erythroid
SLC25A37,1.60794429,3.72859431724422e-20,1.06081939547362e-20,1.721258144,0.312632626,0.742424242,0.214447615,Erythroid
SLC25A39,0.936000244,1.51249109303214e-10,8.69624E-11,1.09700691,0.094618,0.590909091,0.07467216,Erythroid
GYPC,0.917125726,3.65356E-07,2.69745E-07,0.984886389,0.155717445,0.515151515,0.089804288,Erythroid
UBB,0.884725806,2.59035E-06,2.02918E-06,1.737503283,0.633424452,0.651515152,0.286023343,Erythroid
