Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
PortalEndo,3,63.83,LDB2|FLT1|ST6GALNAC3|TCF4|PTPRB|CALCRL|KALRN|DNASE1L3|HSPG2|AKT3|ST6GAL1|IGFBP7|RBMS3|TACC1|PLCB1|EGFL7|TIMP3|ENG|HLA-E|ASAP1|NOSTRIN|ZEB1|BTNL9|HECW2|BMPR2|PRSS23|CRIM1|LIFR|MEIS2|PLPP1,329
PortalHep,3,0,,329
Stellate,3,33.33,IGFBP7|RBMS3|MYO10|COL4A2|GRK5|CRIM1|LIFR,329
Bcells,4,0,,261
CentralHep,4,0,,261
Cholangiocyte,4,3.77,MAML2|ANK3,261
cvLSECs,4,8.57,KALRN|LIFR|MYO10,261
Erythroid,4,0,,261
InfMac,4,6.06,PLXDC2|ZEB2|VIM|VCAN,261
InterHep,4,0,,261
NKTcell,4,3.85,CELF2,261
NonInfMac,4,6.52,PLXDC2|ZEB2|CELF2,261
PortalEndo,4,19.15,RBMS3|IGFBP7|AKT3|KALRN|TIMP1|PRSS23|LIFR|TCF4|CRIM1,261
PortalHep,4,0,,261
Stellate,4,66.67,RBMS3|IGFBP7|CRISPLD2|ANK3|CALD1|COL4A2|ADAMTS2|ARHGAP10|DMD|GRK5|HGF|LIFR|CRIM1|MYO10,261
Bcells,5,0,,350
CentralHep,5,2.44,ABCC3,350
Cholangiocyte,5,24.53,PKHD1|ANXA4|FGFR2|THSD4|GLIS3|MAML2|ANK3|PTPRK|SOX6|ABCC3|MAGI1|FARP1|NFIB,350
cvLSECs,5,2.86,MYO10,350
Erythroid,5,0,,350
InfMac,5,1.52,VCAN,350
InterHep,5,0,,350
NKTcell,5,0,,350
NonInfMac,5,0,,350
PortalEndo,5,4.26,CRIM1|TM4SF1,350
PortalHep,5,0,,350
Stellate,5,14.29,ANK3|MYO10|CRIM1,350
Bcells,6,0,,512
CentralHep,6,7.32,SAA1|CP|ORM1,512
Cholangiocyte,6,0,,512
cvLSECs,6,2.86,HSP90B1,512
Erythroid,6,7.14,UBB,512
InfMac,6,4.55,SAT1|SERP1|VCAN,512
InterHep,6,10.53,MT2A|CP,512
NKTcell,6,7.69,ID2|MALAT1,512
NonInfMac,6,2.17,SAT1,512
PortalEndo,6,6.38,TM4SF1|HSP90B1|TIMP3,512
PortalHep,6,21.05,SAA1|CP|FGB|ORM1,512
Stellate,6,0,,512
Bcells,7,0,,326
CentralHep,7,2.44,TPRG1,326
Cholangiocyte,7,1.89,MAML2,326
cvLSECs,7,2.86,MRC1,326
Erythroid,7,0,,326
InfMac,7,16.67,SLC8A1|ZEB2|PLXDC2|AOAH|TBXAS1|CD163|SRGN|CD74|PSAP|CTSS|SAT1,326
InterHep,7,0,,326
NKTcell,7,11.54,PTPRC|CELF2|ARHGAP15,326
NonInfMac,7,28.26,SLC8A1|KCNMA1|ZEB2|FMN1|PLXDC2|TBXAS1|CD163|MSR1|CELF2|MERTK|MS4A6A|CTSB|SAT1,326
PortalEndo,7,0,,326
PortalHep,7,0,,326
Stellate,7,4.76,ARHGAP10,326
Bcells,8,0,,112
CentralHep,8,0,,112
Cholangiocyte,8,0,,112
cvLSECs,8,0,,112
Erythroid,8,0,,112
InfMac,8,1.52,AOAH,112
InterHep,8,0,,112
NKTcell,8,19.23,PTPRC|FYN|PARP8|CELF2|ARHGAP15,112
NonInfMac,8,2.17,CELF2,112
PortalEndo,8,0,,112
PortalHep,8,0,,112
Stellate,8,0,,112
Bcells,9,0,,108
CentralHep,9,19.51,ADRA1A|CUX2|ABCB4|CP|ABCC3|CYB5A|SCP2|PTGR1,108
Cholangiocyte,9,3.77,ABCC3|THSD4,108
cvLSECs,9,0,,108
Erythroid,9,0,,108
InfMac,9,1.52,NEAT1,108
InterHep,9,10.53,CP|CYB5A,108
NKTcell,9,0,,108
NonInfMac,9,0,,108
PortalEndo,9,4.26,PTPRG|ID1,108
PortalHep,9,10.53,NEAT1|CP,108
Stellate,9,4.76,PTPRG,108
Bcells,10,16.67,RPS7|RPL9|EEF1A1|RPL3|RPS5|NACA|RPL18|EEF1B2,1444
CentralHep,10,41.46,ADH1B|CPS1|ASGR1|PID1|PLG|AOX1|CYP2C9|AGXT|ACSM2B|SOX5|MLXIPL|ACSM2A|MGST1|CYP4F3|A1CF|CYB5A|MAT1A,1444
Cholangiocyte,10,26.42,HINT1|RPS7|PTPRK|RPS18|RPL9|EEF1A1|RPL3|NFIB|RPS27A|RPS5|RPS3|MAGI1|NACA|RPL18,1444
cvLSECs,10,42.86,BTNL9|FLT1|LDB2|ST6GALNAC3|CD36|PREX2|PLCB1|DNASE1L3|EGFL7|PTPRB|RELN|TACC1|HECW2|KALRN|ANKS1A,1444
Erythroid,10,7.14,FBXO7,1444
InfMac,10,19.7,FTL|HLA-B|RPL10|B2M|RPS2|RPS14|RPS19|NEAT1|RPS27|RPL13|SAT1|RPL13A|H3F3A,1444
InterHep,10,36.84,ASGR1|APOA2|PLG|AGXT|ACSM2B|ACSM2A|CYB5A,1444
NKTcell,10,30.77,MALAT1|FYN|HLA-B|HLA-A|B2M|RPS27|RPS3|EEF1B2,1444
NonInfMac,10,8.7,RPS7|RPL3|SAT1|NACA,1444
PortalEndo,10,55.32,BTNL9|FLT1|LDB2|ST6GALNAC3|CALCRL|TCF4|PLCB1|HSPG2|DNASE1L3|EGFL7|PTPRB|RBMS3|TACC1|PLPP1|AKT3|HECW2|ASAP1|IGFBP7|PTPRG|MEIS2|TIMP3|KALRN|DUSP1|HLA-E|ZEB1|BMPR2,1444
PortalHep,10,36.84,ASGR1|PLG|AGXT|ACSM2B|MLXIPL|ACSM2A|NEAT1,1444
Stellate,10,23.81,RBMS3|SOX5|IGFBP7|PTPRG|NR1H4,1444
Bcells,11,0,,55
CentralHep,11,0,,55
Cholangiocyte,11,0,,55
cvLSECs,11,31.43,STAB2|STAB1|ACSM3|DNASE1L3|PREX2|PTPRB|NOSTRIN|LIFR|MRC1|PPFIBP1|TACC1,55
Erythroid,11,0,,55
InfMac,11,0,,55
InterHep,11,0,,55
NKTcell,11,0,,55
NonInfMac,11,2.17,MS4A6A,55
PortalEndo,11,10.64,DNASE1L3|PTPRB|NOSTRIN|LIFR|TACC1,55
PortalHep,11,0,,55
Stellate,11,4.76,LIFR,55
