Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,369
CentralHep,0,78.05,CPS1|CYP2B6|ACSM2A|ACSM2B|CYP2C9|CYP3A5|SOX5|SORBS2|ADRA1A|BHMT|AOX1|A1CF|PID1|ASGR1|ABCB4|SHROOM3|MLXIPL|PLG|CYP4F3|CUX2|ADH1B|C5|CYP2C8|PTGR1|CYP3A4|CYB5A|ECHDC2|MAT1A|ALDH1L1|CFH|CP|GPC6,369
Cholangiocyte,0,3.77,CYP3A5|SORBS2,369
cvLSECs,0,0,,369
Erythroid,0,0,,369
InfMac,0,1.52,NEAT1,369
InterHep,0,68.42,CYP2B6|ACSM2A|ACSM2B|CYP3A5|SORBS2|ESR1|ASGR1|PLG|CYB5A|ECHDC2|CFH|CP|GPC6,369
NKTcell,0,0,,369
NonInfMac,0,0,,369
PortalEndo,0,0,,369
PortalHep,0,63.16,CYP2B6|ACSM2A|ACSM2B|CYP3A5|ESR1|ASGR1|MLXIPL|PLG|ECHDC2|NEAT1|CFH|CP,369
Stellate,0,14.29,SOX5|NR1H4|GPC6,369
Bcells,1,0,,196
CentralHep,1,68.29,CYP3A5|CP|ASGR1|SAA1|C3|ADRA1A|CYP3A4|CUX2|ABCB4|CYP2B6|MLXIPL|CYP2C8|ALDH1L1|MAT1A|ACSL1|ACSM2A|C5|ACSM2B|SOX5|CYB5A|PID1|CYP2C9|ECHDC2|CFH|ABCC3|BHMT|SCP2|CYP4F3,196
Cholangiocyte,1,3.77,CYP3A5|ABCC3,196
cvLSECs,1,0,,196
Erythroid,1,0,,196
InfMac,1,1.52,NEAT1,196
InterHep,1,57.89,CYP3A5|CP|ASGR1|C3|CYP2B6|ACSM2A|ACSM2B|CYB5A|ESR1|ECHDC2|CFH,196
NKTcell,1,3.85,ID2,196
NonInfMac,1,0,,196
PortalEndo,1,0,,196
PortalHep,1,68.42,CYP3A5|CP|ASGR1|SAA1|C3|CYP2B6|MLXIPL|ACSM2A|ACSM2B|ESR1|ECHDC2|CFH|NEAT1,196
Stellate,1,9.52,SOX5|NR1H4,196
Bcells,2,2.08,TMSB4X,849
CentralHep,2,0,,849
Cholangiocyte,2,5.66,NFIB|MAGI1|MAML2,849
cvLSECs,2,82.86,FLT1|LDB2|ST6GALNAC3|PTPRB|PREX2|HECW2|PLCB1|ACSM3|KALRN|EGFL7|DNASE1L3|PPFIBP1|STAB2|LIFR|ST6GAL1|MYO10|TACC1|NOSTRIN|BTNL9|ENG|OIT3|STAB1|MRC1|FCN2|CRHBP|ANKS1A|MIR99AHG|DGKG|RELN,849
Erythroid,2,14.29,SLC25A37|GYPC,849
InfMac,2,9.09,VIM|HLA-B|B2M|TMSB4X|TMSB10|PLXDC2,849
InterHep,2,0,,849
NKTcell,2,23.08,FYN|HLA-B|HLA-A|B2M|TMSB4X|TMSB10,849
NonInfMac,2,8.7,TMSB4X|TMSB10|MS4A6A|PLXDC2,849
